State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Himachal Pradesh,Bilaspur,0.03%,0.027,7.5,35.3,395,"13,24,171",30,30000
Himachal Pradesh,Chamba,0.04%,0.042,10.6,39.3,510,"13,24,171",54,54000
Himachal Pradesh,Hamirpur,0.04%,0.015,4.2,35.9,481,"13,24,171",20,20000
Himachal Pradesh,Kangra,0.12%,0.026,7.2,35.8,"1,527","13,24,171",109,109000
Himachal Pradesh,Kinnaur,0.01%,0.026,7.1,36.9,74,"13,24,171",5,5000
Himachal Pradesh,Kullu,0.03%,0.04,11.1,36.1,419,"13,24,171",46,46000
Himachal Pradesh,Lahul And Spiti,0.00%,0.036,9.7,36.7,21,"13,24,171",2,2000
Himachal Pradesh,Mandi,0.08%,0.031,8.5,36.7,"1,044","13,24,171",88,88000
Himachal Pradesh,Shimla,0.06%,0.034,9.3,36.9,804,"13,24,171",74,74000
Himachal Pradesh,Sirmaur,0.04%,0.054,13.4,40.3,503,"13,24,171",67,67000
Himachal Pradesh,Solan,0.05%,0.031,7.7,40.2,656,"13,24,171",50,50000
Himachal Pradesh,Una,0.04%,0.018,4.9,37.6,578,"13,24,171",28,28000
Jammu And Kashmir,Anantnag,0.08%,0.043,9.7,44.2,"1,041","13,24,171",101,101000
Jammu And Kashmir,Badgam,0.05%,0.042,10.5,39.8,617,"13,24,171",65,65000
Jammu And Kashmir,Bandipore,0.03%,0.055,12.8,43.2,405,"13,24,171",52,52000
Jammu And Kashmir,Baramula,0.07%,0.039,9.5,40.7,916,"13,24,171",87,87000
Jammu And Kashmir,Doda,0.03%,0.138,31.8,43.4,432,"13,24,171",137,137000
Jammu And Kashmir,Ganderbal,0.02%,0.041,10,40.8,314,"13,24,171",31,31000
Jammu And Kashmir,Jammu,0.12%,0.036,9,40,"1,606","13,24,171",145,145000
Jammu And Kashmir,Kargil,0.01%,0.096,25.3,37.8,109,"13,24,171",28,28000
Jammu And Kashmir,Kathua,0.05%,0.078,19.3,40.7,659,"13,24,171",127,127000
Jammu And Kashmir,Kishtwar,0.02%,0.126,29.3,43,245,"13,24,171",72,72000
Jammu And Kashmir,Kulgam,0.04%,0.039,9.6,41.1,470,"13,24,171",45,45000
Jammu And Kashmir,Kupwara,0.05%,0.079,20.1,39.5,690,"13,24,171",139,139000
Jammu And Kashmir,Leh,0.01%,0.039,10.9,36.2,97,"13,24,171",11,11000
Jammu And Kashmir,Pulwama,0.04%,0.019,4.9,39.7,469,"13,24,171",23,23000
Jammu And Kashmir,Punch,0.05%,0.11,26.1,42.3,609,"13,24,171",159,159000
Jammu And Kashmir,Rajouri,0.06%,0.126,29.6,42.5,787,"13,24,171",233,233000
Jammu And Kashmir,Ramban,0.02%,0.173,39.1,44.2,282,"13,24,171",110,110000
Jammu And Kashmir,Reasi,0.03%,0.104,25.1,41.6,375,"13,24,171",94,94000
Jammu And Kashmir,Samba,0.02%,0.051,12.8,39.6,301,"13,24,171",38,38000
Jammu And Kashmir,Shupiyan,0.02%,0.036,8.8,40.9,288,"13,24,171",25,25000
Jammu And Kashmir,Srinagar,0.11%,0.01,2.7,38,"1,497","13,24,171",40,40000
Jammu And Kashmir,Udhampur,0.04%,0.135,31.5,42.9,573,"13,24,171",180,180000
Jharkhand,Bokaro,0.17%,0.138,33.5,41.2,"2,265","13,24,171",758,758000
Jharkhand,Chatra,0.09%,0.28,58.4,47.9,"1,232","13,24,171",719,719000
Jharkhand,Deoghar,0.13%,0.217,49.1,44.1,"1,775","13,24,171",872,872000
Jharkhand,Dhanbad,0.21%,0.133,32.8,40.7,"2,797","13,24,171",917,917000
Jharkhand,Dumka,0.11%,0.265,58.7,45.2,"1,457","13,24,171",856,856000
Jharkhand,Garhwa,0.11%,0.258,57.8,44.6,"1,502","13,24,171",868,868000
Jharkhand,Giridih,0.18%,0.243,55,44.3,"2,441","13,24,171","1,343",1343000
